Transaction Date,Posted Date,Description,Category,Debit,Credit
5/7/2022,5/7/2022,LYFT   *1 RIDE 05-06,Other Travel,63.69,
5/4/2022,5/5/2022,CVS/PHARMACY #04103,Health Care,18.94,
5/4/2022,5/5/2022,KUHN'S BELLEVUE,Merchandise,26.41,
5/4/2022,5/5/2022,AMZN Mktp US*136FN59P1,Merchandise,17.99,
5/4/2022,5/5/2022,AMZN Mktp US*1Q00T9U82,Merchandise,50.98,
5/3/2022,5/4/2022,RITE AID 10920,Health Care,2.99,
5/1/2022,5/2/2022,KUHN'S BELLEVUE,Merchandise,20.94,
5/1/2022,5/2/2022,VESTA  *AT&T PREPAID,Phone/Cable,33.75,
4/27/2022,4/28/2022,AMZN Mktp US*1O9WF1R52,Merchandise,69.98,
4/24/2022,4/25/2022,AIRBNB  HMFC452AZD,Lodging,25.42,
4/21/2022,4/22/2022,AMZN MKTP US AMZN.COM/,Merchandise,,39.99
4/21/2022,4/22/2022,AMAZON.COM AMZN.COM/BI,Merchandise,,11.99
4/22/2022,4/22/2022,AMZN Mktp US,Merchandise,,28.99
4/21/2022,4/22/2022,AMZN Mktp US,Merchandise,,9.99
4/12/2022,4/12/2022,CAPITAL ONE MOBILE PYMT,Payment/Credit,,377.59
4/10/2022,4/11/2022,GIANT-EAGLE #0061,Merchandise,70.82,
4/11/2022,4/11/2022,Amazon.com*1A1AC6Q91,Merchandise,8.47,
4/10/2022,4/11/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
4/10/2022,4/11/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
4/9/2022,4/11/2022,KUHN'S BELLEVUE,Merchandise,15.77,
4/9/2022,4/11/2022,KUHN'S BELLEVUE,Merchandise,23.85,
4/9/2022,4/11/2022,RITE AID 10920,Health Care,25.05,
4/10/2022,4/11/2022,PITT-THEATRE ARTS,Entertainment,17,
4/10/2022,4/11/2022,AMZN Mktp US*1H2QE5IW0,Merchandise,9.99,
4/10/2022,4/11/2022,"COMCAST THREERIVERS,PA",Phone/Cable,54.97,
4/9/2022,4/11/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
4/9/2022,4/11/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
4/8/2022,4/9/2022,AIRBNB  HMFC452AZD,Lodging,25.42,
4/7/2022,4/8/2022,AMZN Mktp US*1A7I75ZE1,Merchandise,28.99,
4/6/2022,4/7/2022,AMAZON.COM*1A7DB1F61 A,Merchandise,11.99,
4/6/2022,4/7/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
4/6/2022,4/7/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
4/5/2022,4/7/2022,BNYGRANTSTCAFE     QPS,Dining,3.03,
4/5/2022,4/6/2022,WINE AND SPIRITS 0263,Merchandise,19.19,
4/5/2022,4/6/2022,CMS*LAUREL FOODSYSTEMS,Dining,1.35,
4/5/2022,4/6/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
4/5/2022,4/6/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
4/4/2022,4/5/2022,KUHN'S BELLEVUE,Merchandise,17,
4/2/2022,4/4/2022,KUHN'S BELLEVUE,Merchandise,32.61,
4/2/2022,4/4/2022,SQ *GRANDPA JOE'S CAND,Merchandise,6.59,
4/2/2022,4/4/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
4/1/2022,4/2/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
4/1/2022,4/2/2022,VESTA  *AT&T PREPAID,Phone/Cable,33.75,
3/30/2022,3/31/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
3/30/2022,3/31/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
3/30/2022,3/31/2022,AMZN Mktp US*1696268C0,Merchandise,7.58,
3/28/2022,3/29/2022,KUHN'S BELLEVUE,Merchandise,23.89,
3/27/2022,3/28/2022,GIANT-EAGLE #0061,Merchandise,4.76,
3/27/2022,3/28/2022,FAMILY DOLLAR #5250,Merchandise,4.82,
3/25/2022,3/26/2022,FAMILY DOLLAR #5518,Merchandise,5.35,
3/25/2022,3/26/2022,AMZN Mktp US,Merchandise,,24.46
3/24/2022,3/25/2022,AMZN MKTP US*162WE6EK1,Merchandise,39.99,
3/24/2022,3/25/2022,AMZN Mktp US*162O29EQ1,Merchandise,19.99,
3/23/2022,3/24/2022,FRESHII - UNION TRUST,Dining,11.22,
3/23/2022,3/24/2022,AMAZON.COM*169RF5LP1 A,Merchandise,22.21,
3/22/2022,3/23/2022,KUHN'S BELLEVUE,Merchandise,20.53,
3/23/2022,3/23/2022,AMZN Mktp US,Merchandise,,24.48
3/22/2022,3/22/2022,AMZN Mktp US*1N1QF8JP2,Merchandise,24.46,
3/16/2022,3/17/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
3/16/2022,3/17/2022,AMZN Mktp US*1Z4KT2X02,Merchandise,12.58,
3/16/2022,3/16/2022,CAPITAL ONE MOBILE PYMT,Payment/Credit,,384.05
3/15/2022,3/16/2022,AMZN Mktp US*1Z0QA00I2,Merchandise,24.48,
3/11/2022,3/12/2022,AMZN MKTP US AMZN.COM/,Merchandise,,21.99
3/11/2022,3/12/2022,Amazon.com,Merchandise,,21.97
3/10/2022,3/11/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
3/10/2022,3/11/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
3/10/2022,3/10/2022,"COMCAST THREERIVERS,PA",Phone/Cable,54.97,
3/9/2022,3/10/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
3/9/2022,3/10/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
3/6/2022,3/7/2022,GIANT-EAGLE #0061,Merchandise,6.98,
3/6/2022,3/7/2022,TST* TWELVE WHISKEY BA,Dining,6.42,
3/5/2022,3/7/2022,KUHN'S BELLEVUE,Merchandise,28.16,
3/4/2022,3/5/2022,38004 BNY PITTSBURGH,Health Care,20,
3/4/2022,3/5/2022,BETA GAMMA SIGMA,Other Services,75,
3/4/2022,3/5/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
3/3/2022,3/4/2022,KUHN'S BELLEVUE,Merchandise,8.76,
3/3/2022,3/4/2022,FAMILY DOLLAR #5518,Merchandise,3.32,
3/4/2022,3/4/2022,Amazon.com*1W29T9XY0,Merchandise,21.97,
3/2/2022,3/3/2022,GIANT-EAGLE #0061,Merchandise,40.37,
3/2/2022,3/3/2022,KUHN'S BELLEVUE,Merchandise,35.52,
3/2/2022,3/3/2022,VESTA  *AT&T PREPAID,Phone/Cable,33.75,
2/27/2022,2/28/2022,KUHN'S BELLEVUE,Merchandise,12.46,
2/28/2022,2/28/2022,AMZN Mktp US*1W7MZ8ZE1,Merchandise,29.98,
2/27/2022,2/28/2022,AMZN MKTP US*1I97S32R0,Merchandise,21.99,
2/26/2022,2/28/2022,KUHN'S BELLEVUE,Merchandise,26.58,
2/26/2022,2/28/2022,Amazon.com*1I1PZ7WY1,Merchandise,20.65,
2/23/2022,2/24/2022,KUHN'S BELLEVUE,Merchandise,27.36,
2/16/2022,2/16/2022,AMZN Mktp US,Merchandise,,59.98
2/14/2022,2/14/2022,CAPITAL ONE MOBILE PYMT,Payment/Credit,,445.62
2/10/2022,2/10/2022,"COMCAST THREERIVERS,PA",Phone/Cable,54.97,
2/9/2022,2/10/2022,AMZN Mktp US*4L10F11R3,Merchandise,21.63,
2/6/2022,2/7/2022,KUHN'S BELLEVUE,Merchandise,42.15,
2/6/2022,2/7/2022,CULTURAL DISTRICT TKTS,Entertainment,21,
2/7/2022,2/7/2022,Amazon.com*3E6C37ZF3,Merchandise,13.93,
2/6/2022,2/7/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
2/6/2022,2/7/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
2/5/2022,2/7/2022,7-ELEVEN 36145,Gas/Automotive,2.88,
2/5/2022,2/7/2022,MISFITS MARKET,Merchandise,28.52,
2/4/2022,2/5/2022,SQ *WIGLE WHISKEY DIST,Dining,20.18,
